compound_id,base_rdkit_smiles,DILIst_Classification,cellcount_active,GSH_active,mitostruct_active,MMP_active,nucarea_active,nucmask_active,ROS_active
CID157920,CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)O)C(=O)C[C@H]2O1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CID8223,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
CID5284533,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
CID5311498,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-]C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NCC(C)OP(=O)(O)OC4C(O)[C@@H](n5cnc6cc(C)c(C)cc65)O[C@H]4CO)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID123606,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CID4887,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CID47319,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
CID3356,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0
CID3016,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
CID3299,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0
